SelfReportMinsSmartphone,SelfReportCheckSmartphone,SelfReportSocialMediaMins,SelfReportMessagingMins,SelfReportGamingMins,SelfReportEmailMins,SelfReportOtherAppsMins,SelfReportTotalAppMins,EmotionOwnSmartphoneUsage
480,100,240,240,0,0,0,480,2
180,45,120,30,30,15,0,195,3
285,20,180,75,0,15,15,285,2
420,150,210,120,90,0,0,420,1
945,200,300,300,0,0,300,900,1
285,50,60,60,0,30,15,165,1
360,100,120,150,60,15,0,345,1
435,15,240,120,30,180,0,570,2
360,45,0,15,120,0,210,345,1
600,20,120,120,0,0,360,600,2
225,20,90,60,0,30,30,210,3
135,36,0,15,0,15,45,75,3
120,20,15,0,0,0,75,90,2
240,100,60,90,0,60,0,210,1
480,30,180,240,90,30,60,600,1
360,13,60,30,120,0,240,450,2
300,50,240,0,0,0,60,300,1
150,60,15,30,90,15,105,255,1
165,45,120,60,0,0,30,210,2
240,100,120,60,60,15,0,255,1
360,60,300,300,0,0,300,900,1
420,150,120,60,30,30,180,420,1
240,20,120,60,60,60,480,780,3
345,100,0,240,0,30,60,330,3
180,40,240,180,0,30,0,450,1
510,500,180,300,180,15,60,735,1
270,25,210,45,0,60,30,345,3
300,50,180,60,0,60,0,300,3
240,30,60,30,0,15,135,240,2
240,50,180,45,0,15,0,240,1
840,50,120,240,180,0,300,840,1
330,20,180,0,135,15,0,330,2
300,50,120,45,0,0,60,225,2
360,100,0,120,0,0,0,120,3
180,50,60,15,150,15,0,240,2
90,30,15,30,0,0,30,75,3
180,60,180,0,0,0,15,195,2
285,40,0,180,105,0,30,315,2
240,80,0,0,0,0,240,240,2
300,70,30,30,0,15,0,75,2
420,60,180,15,75,15,120,405,2
240,20,60,0,0,0,180,240,3
480,30,45,15,420,0,0,480,2
60,20,30,0,15,15,0,60,3
240,120,30,30,0,0,180,240,2
240,30,120,120,0,30,0,270,2
360,50,180,300,0,30,60,570,1
180,70,120,120,0,30,0,270,3
120,50,120,15,0,0,15,150,3
240,30,180,120,120,240,0,660,1
720,50,360,240,0,30,45,675,2
480,60,420,0,30,15,15,480,1
180,40,0,0,60,0,120,180,2
270,6,0,15,30,15,180,240,2
600,30,240,60,0,0,300,600,1
150,120,75,30,30,15,0,150,3
120,30,120,60,0,60,60,300,1
285,50,225,45,30,0,45,345,2
120,50,30,30,0,15,45,120,2
300,65,165,90,60,0,0,315,1
330,70,45,30,0,15,240,330,2
300,60,180,60,0,30,60,330,1
240,25,150,60,15,15,0,240,1
390,20,330,60,30,0,0,420,1
165,30,90,30,0,30,15,165,3
330,50,30,60,60,15,360,525,2
300,50,120,120,0,60,0,300,1
240,50,180,45,0,0,0,225,2
360,40,180,180,0,0,0,360,2
300,50,180,120,30,0,0,330,1
180,60,90,0,60,0,0,150,2
210,35,75,45,60,0,30,210,2
180,50,90,60,0,0,0,150,2
420,40,240,120,60,0,0,420,1
180,6,30,15,0,15,120,180,2
705,200,30,180,0,15,480,705,1
360,30,180,420,0,15,45,660,2
180,50,120,120,15,60,30,345,2
420,50,0,300,60,0,60,420,2
270,60,360,90,150,15,0,615,1
330,15,300,15,15,0,0,330,2
300,30,30,0,180,30,0,240,2
360,30,90,45,0,15,300,450,2
720,250,60,0,0,15,480,555,1
120,30,60,30,15,15,0,120,1
420,15,180,240,120,0,0,540,2
105,18,45,30,0,15,15,105,2
180,50,90,45,0,0,30,165,2
225,30,0,0,0,45,165,210,2
180,10,60,60,45,0,120,285,2
945,20,825,60,0,60,0,945,1
180,50,120,30,0,0,0,150,1
120,20,0,60,0,15,0,75,1
300,50,60,120,60,15,0,255,3
240,100,0,120,0,30,90,240,2
300,25,0,0,0,0,0,0,#NULL!
180,50,60,60,0,0,60,180,2
120,20,45,15,0,15,135,210,3
360,50,30,30,180,0,180,420,1
300,30,270,270,0,30,0,570,2
30,20,15,0,0,0,0,15,3
180,100,60,30,0,15,15,120,2
600,60,240,60,0,15,300,615,1
300,15,240,15,60,15,15,345,#NULL!
90,20,45,15,0,15,15,90,3
645,999,360,180,60,0,60,660,1
300,15,240,15,0,0,60,315,2
300,20,60,60,240,60,180,600,1
180,60,0,75,0,30,75,180,3
360,100,180,120,0,15,0,315,2
510,50,90,180,0,30,210,510,1
360,75,180,120,180,60,60,600,2
240,20,120,30,0,30,60,240,1
240,50,15,60,0,15,180,270,2
240,40,90,30,45,15,60,240,2
420,75,120,60,60,60,120,420,1
630,30,510,120,30,15,60,735,3
480,50,240,120,60,30,45,495,1
300,50,15,15,180,0,90,300,#NULL!
360,15,180,120,30,0,15,345,1
180,50,0,0,0,0,180,180,2
120,100,0,0,60,0,60,120,2
360,50,240,60,240,15,30,585,1
360,90,120,60,30,0,60,270,1
180,100,90,60,0,30,30,210,2
420,100,0,0,300,15,60,375,1
420,50,120,15,0,0,165,300,1
300,100,360,60,240,0,360,1020,3
180,100,60,120,30,60,60,330,2
360,60,0,0,0,120,240,360,1
300,30,0,0,0,0,300,300,1
195,70,0,0,60,15,120,195,3
360,20,120,120,0,0,120,360,1
240,50,120,120,0,0,0,240,3
150,20,90,15,0,30,15,150,2
240,50,225,0,0,0,15,240,2
360,100,150,60,120,30,0,360,1
600,50,90,240,30,15,240,615,1
300,20,120,30,0,60,90,300,2
120,50,60,60,0,15,0,135,2
300,50,60,60,0,120,60,300,3
540,50,120,60,300,30,30,540,1
240,30,180,15,60,0,0,255,2
465,150,270,345,120,0,90,825,2
300,30,180,60,0,60,0,300,1
585,99,480,60,60,60,60,720,1
120,50,60,60,0,60,0,180,2
300,30,15,45,120,0,120,300,1
270,50,90,30,30,30,90,270,1
360,30,180,30,120,0,30,360,1
540,500,180,180,120,0,60,540,1
60,60,0,15,15,15,15,60,3
375,140,0,0,0,0,360,360,2
945,20,660,540,0,0,240,0,1
600,15,60,30,240,0,270,600,1
720,25,195,105,90,0,225,615,2
330,40,180,120,120,15,60,495,1
180,30,60,30,0,30,60,180,3
600,100,60,60,60,120,60,360,1
240,40,60,60,0,0,60,180,2
240,100,0,0,0,60,180,240,3
180,12,0,60,0,30,90,180,2
240,30,180,60,0,0,0,240,2
120,50,30,15,0,15,30,90,3
150,24,120,30,0,0,0,150,3
240,150,180,60,0,0,0,240,1
210,50,180,15,0,15,0,210,2
150,50,30,60,60,30,30,210,1
360,100,120,300,0,0,0,420,1
120,50,45,15,0,30,60,150,3
600,20,600,0,0,0,0,600,2
180,20,150,60,0,30,0,240,1
180,58,60,60,0,60,0,180,2
900,100,180,360,0,0,480,1020,1
240,50,120,60,15,15,30,240,1
900,100,300,300,0,0,0,600,1
360,80,120,120,0,60,60,360,1
705,100,480,60,105,30,120,795,2
180,40,60,60,0,0,60,180,2
360,50,30,60,0,45,330,465,1
240,75,120,60,45,15,0,240,3
585,10,135,120,0,60,240,555,2
120,75,0,0,0,30,120,150,1
240,20,120,30,0,60,30,240,2
120,50,0,30,0,60,60,150,3
420,80,180,180,60,60,390,870,1
120,50,45,0,0,15,60,120,2
645,110,180,285,0,120,60,645,3
300,30,180,60,30,0,60,330,2
270,50,60,30,150,30,0,270,3
180,60,0,60,0,30,90,180,3
720,20,480,120,90,15,15,720,2
720,120,60,120,60,0,480,720,1
480,50,60,0,0,30,420,510,1
270,80,120,60,180,15,0,375,2
270,40,180,120,30,15,75,420,1
180,100,120,30,0,0,30,180,#NULL!
300,20,90,30,150,0,0,270,1
180,100,30,60,15,15,60,180,1
120,65,0,120,0,0,0,120,1
150,30,60,60,0,30,0,150,2
120,50,60,30,0,30,0,120,2
420,25,180,60,60,0,120,420,2
540,5,120,45,180,0,180,525,1
